district,block,cluster,code,name,genre
bangalore,anekal taluk,sarjapura,34012,BILLAPURA,Anganwadi
bangalore,sumangali seva ashrama,sultanpalya,34039,SONNAPPA GARDEN,Anganwadi
bangalore,south-1,ramasandra,32540,GKLPS HALEBHAIROHALLI,Lower Primary
bangalore rural,devanahalli,channahalli,36732,GKHPS RAYASANDRA,Upper Primary
dharwad,Hubli-Dharwad urban,HFWTC,36509,Hanumant Nagar,Anganwadi
gadag,mundaragi,bidaralli,36837,GHPS JALAWADAGI,Upper Primary
koppal,kustagi,killarhatti,20220,	GLPS JULAKUNTI	,Lower Primary
koppal,kustagi,chalageri,20190,	GHPS MADAKERI	,Upper Primary
bangalore,bangalore north (yelahanka),agrahara layout,36704,AMRUTHA NAGARA,Anganwadi
bangalore rural,hosakote,thavarekere,35940,G LPS BANAMAKANAHALLI,Lower Primary
bangalore rural,hosakote,hosakote town,36017,G ULPS V.V. EXTN,Lower Primary
bangalore rural,hosakote,bendiganahalli,36186,GLPS CHEEMASANDRA,Model Primary
bangalore,bangalore north (yelahanka),gopalapura,30748,KODAGITHIRUMALAPURA,Anganwadi
bangalore,south-2,goripalya,32132,GUHPBS JJR NAGAR,Upper Primary
bangalore rural,hosakote,nelavagilu,36072,G HPS HINDIGANALA,Upper Primary
bangalore,bangalore north (yelahanka),kodigenahalli,33902,KEMPAPURA-1,Anganwadi
gadag,mundaragi,kadampur,36854,GHPS KADAMPUR,Upper Primary
bangalore rural,hosakote,bilanarasapura,35916,G HPS KORATI,Upper Primary
bangalore,north-2,hebbal,32029,GKMPS HEBBAL,Model Primary
gadag,mundaragi,mundaragi urdu,36892,GHPUGS MUNDARAGI,Upper Primary
bangalore,bangalore central,kithuru rani channamma 3rd circle,30304,TIPPUNAGAR,Anganwadi
dharwad,Hubli-Dharwad urban,HFWTC,36514,Nekar Colony,Anganwadi
koppal,kustagi,chalageri,20178,	GHPS BENAKANHALI	,Upper Primary
chamrajnagar,kollegal,kunthur,6834,	GHPS	,Upper Primary
koppal,kustagi,killarhatti,20224,	GHPS KILARHATTI	,Upper Primary
bangalore,north-1,peenya,33301,GKHPS PEENYA,Model Primary
gadag,mundaragi,dambal,36819,GLPS HOSUR DAMBAL,Lower Primary
bangalore,south-1,ramohalli,32534,GKHPS RAMOHALLI,Upper Primary
gadag,mundaragi,kadampur,36861,GHPS DONI,Upper Primary
bangalore,north-4,byatarayanapura,32168,GKHPS BYATARAYANAPURA (N4),Upper Primary
bangalore,bangalore state,yashwanthpura,30495,AMBEDKAR NAGAR 2A,Anganwadi
bangalore,bangalore central,Manjunatheshwar circle-7,31141,KESHVA NAGAR,Anganwadi
bangalore,bangalore central,Manjunatheshwar circle-7,31138,ASHWATHNAGAR,Anganwadi
gadag,mundaragi,bidaralli,36818,GHPS MUNDAWAD,Upper Primary
bangalore rural,devanahalli,devanahalli,36766,GKHPS SAROVARA BEEDI,Upper Primary
dharwad,Hubli-Dharwad urban,HFWTC,36528,Shiradi nagar,Anganwadi
koppal,kustagi,hanumanal,20301,	GHPS KADIVAL	,Upper Primary
bangalore,north-4,bagalur,32049,GKMPS BAGALURU,Model Primary
dharwad,Hubli-Dharwad urban,HDMC,36644,Bisti galli,Anganwadi
bangalore,south-1,k gollahalli,31994,GKLPS TIPPUR,Lower Primary
bangalore,south-3,domlur,33129,GKMPS DOMLUR,Model Primary
bangalore rural,hosakote,sulibele,35875,GKHPS JANATHA COLONY,Upper Primary
koppal,kustagi,hiregonnagar,20296,	GLPS GADACHINTI	,Lower Primary
bangalore rural,hosakote,bendiganahalli,36027,G LPS BALENAHALLI,Lower Primary
bangalore,north-4,agrahara layout,33215,GKLPS THIRUMENAHALLI,Lower Primary
koppal,kustagi,hanumanal,20164,	GMHPS HANUMANHAL	,Upper Primary
bangalore,north-4,kodigehalli,33209,GUHPS M.S. PALYA,Upper Primary
bangalore rural,hosakote,hosakote town,36023,G UHPS HOSAKOTE,Upper Primary
koppal,kustagi,hanumasagar,20318,	GHPS KABBARAGI	,Upper Primary
bangalore rural,hosakote,bilanarasapura,35921,G UHPS BOYS BNPURA,Upper Primary
bangalore rural,hosakote,doddagattinabbe,36207,GKLPS BISNAHALLI,Lower Primary
bangalore,anekal taluk,sarjapura,36310,BIDARAGUPPE B,Anganwadi
bangalore rural,hosakote,doddanhulluru,36198,GLPS CHOKKAHALLI,Lower Primary
bangalore,sumangali seva ashrama,murphy town,36452,JAIRAJ NAGARA,Anganwadi
koppal,kustagi,bijakal,20276,	GHPS GONAL.K	,Upper Primary
koppal,kustagi,koradakera,20339,	GLPS PARASAPUR	,Lower Primary
bangalore rural,hosakote,beguru,35886,G HPS KAMBALIPURA,Upper Primary
bangalore rural,hosakote,doddagattinabbe,36226,GLPS GANAGALU,Lower Primary
bangalore,anekal taluk,haragadde,33584,DYAVASANDRA,Anganwadi
bangalore,north-1,shivanagara,32827,GKLPS INDIRA NAGARA,Lower Primary
bangalore rural,hosakote,beguru,35902,G HPS MALLIMAKANAPURA,Upper Primary
bangalore,north-2,hebbal,32026,GKLPS GUDDADAHALLI (HEBBAL),Lower Primary
bangalore rural,hosakote,nelavagilu,35910,G LPS AREHALLI,Lower Primary
bangalore,anekal taluk,haragadde,31376,MADAPATTANA A,Anganwadi
bangalore,bangalore south(banashankari),doddakannelli,30964,KODATHI,Anganwadi
bangalore rural,hosakote,hosakote town,36015,G LPS SIDDARTHA NAGARA,Lower Primary
gadag,mundaragi,shingtalur,36911,GHPS HOSASHINGATALUR,Upper Primary
koppal,kustagi,j.gudadoor,20311,	GHPS BADIMANHAL	,Upper Primary
dharwad,Hubli-Dharwad urban,Madarmaddi,36606,Chapparband Colony-1,Anganwadi
koppal,kustagi,bijakal,20293,	GHPS K .BODUR	,Upper Primary
dharwad,Hubli-Dharwad urban,HDMC,36636,Rasul Pur -1,Anganwadi
bangalore,bangalore north (yelahanka),abbigere,30883,KUVEMPUNAGAR II,Anganwadi
gadag,mundaragi,hirawaddatti,36848,GMCS HIREWADDATTI,Model Primary
bangalore,sumangali seva ashrama,murphy town,30579,JEEVANAHALLI,Anganwadi
bangalore,sumangali seva ashrama,kodihalli,34027,NELLURPURAM 1,Anganwadi
bangalore,anekal taluk,ballur,30933,MAYASANDRA  B,Anganwadi
bangalore rural,hosakote,alappanahalli,36123,G LPS THIMMASANDRA,Lower Primary
bangalore rural,devanahalli,devanahalli,36761,GKLPS AKKU PETE,Lower Primary
bangalore,north-3,kaval byrasandra,33150,GKMPS K B SANDRA,Upper Primary
koppal,kustagi,hiremannapur,20282,	GLPS AKALAVAVYA HIREMANAPUR	,Lower Primary
bangalore,bangalore central,Manjunatheshwar circle-7,31043,KAMALANEHARU NAGARA,Anganwadi
bangalore rural,hosakote,bendiganahalli,36025,G LPS THIMMAPPANAHALLI,Lower Primary
bangalore rural,hosakote,devanagundi,35992,G LPS OBALAPURA,Lower Primary
bangalore,bangalore north (yelahanka),abbigere,33865,THINDLU II,Anganwadi
bangalore rural,hosakote,nandagudi,36068,G LPS ESTHURU,Lower Primary
bangalore rural,devanahalli,devanahalli,36765,GKHPS KORACHARAPALYA,Upper Primary
gadag,mundaragi,mundaragi urdu,36898,GLPUS EKLASPUR,Lower Primary
bangalore,south-1,somanahalli,32730,GKHPS SOMANAHALLI,Upper Primary
bangalore,north-1,mallasandra,33284,GKHPS NARAYANAPURA,Upper Primary
bangalore rural,hosakote,mugbala,36220,GHPS NIDAGHATTA,Upper Primary
gadag,mundaragi,bagewadi,36834,GHPS BAGEWADI,Upper Primary
dharwad,Hubli-Dharwad urban,Madarmaddi,36304,Ajadnagar,Anganwadi
koppal,kustagi,koradakera,20329,	GLPS BISNHAL	,Lower Primary
koppal,kustagi,menedhal,20265,	G URDU LPS HULIYAPUR	,Lower Primary
bangalore,anekal taluk,haragadde,33664,HARAGADDE  VADDARAPALYA,Anganwadi
koppal,kustagi,chalageri,20128,	LPS BENAKANAL ROAD CHALIGERI	,Lower Primary
koppal,kustagi,thavaragera,20236,	GLPS VITTALAPUR	,Lower Primary
bangalore,bangalore state,yw circle,29654,GOUTHAM NAGARA,Anganwadi
bangalore,bangalore central,netravathi,30256,VINOBHANAGER,Anganwadi
dharwad,Hubli-Dharwad urban,HFWTC,36533,Yavagal plot,Anganwadi
koppal,kustagi,hanumasagar,20191,	GHPS MADANHAL	,Model Primary
bangalore,anekal taluk,haragadde,33580,GOWRENAHALLI   B,Anganwadi
bangalore,anekal taluk,dommasanddra,33717,SOMPURA,Anganwadi
dharwad,Hubli-Dharwad urban,HDMC,36617,K.B.nagar,Anganwadi
gadag,mundaragi,bagewadi,36835,GHPS MALLIKARJUNAPURA,Upper Primary
koppal,kustagi,hanumanal,20301,	GHPS KADIVAL	,Upper Primary
bangalore,bangalore north (yelahanka),hesaragatta,33962,CHIKKABYALAKERE,Anganwadi
koppal,kustagi,hiremannapur,20275,	GHPS  GANGANHAL .G	,Upper Primary
dharwad,Hubli-Dharwad urban,HDMC,36607,Doragalli-1,Anganwadi
koppal,kustagi,adavibhavi,20156,	GLPS MENASAGERI TANDA	,Lower Primary
koppal,kustagi,kustagi,20244,	GLPS ASHRAYA  BADAVAN KUSTAGI	,Lower Primary
gadag,mundaragi,dambal,36845,GMCS DAMBAL,Model Primary
bangalore rural,devanahalli,sadahalli,36737,GKHPS UGANAVADI,Model Primary
dharwad,Hubli-Dharwad urban,HDMC,36605,Hebbali agasi-2,Anganwadi
bangalore,south-1,doddagollarahatti,33034,GKLPS R CHIKKANAHALLI,Lower Primary
koppal,kustagi,nilogal,20174,	GHPS SHADALAGERI	,Upper Primary
koppal,kustagi,adavibhavi,20129,	GHPS DEVALAPUR	,Upper Primary
koppal,kustagi,hiremannapur,20289,	GHPS NEERALUTI	,Upper Primary
bangalore,south-1,srinagara,32636,GKHPS SUNKENAHALLI,Upper Primary
bangalore rural,hosakote,doddanhulluru,36195,	GHPS Doddanallurahalli,Upper Primary
koppal,kustagi,j.gudadoor,20193,	GHPS VENKATAPUR	,Upper Primary
koppal,kustagi,menedhal,20254,	GLPS GUDDADA HANUMASGAR CAMP	,Lower Primary
bangalore rural,devanahalli,devanahalli,36760,GKLPS GORIBAGILU,Lower Primary
dharwad,Hubli-Dharwad urban,Madarmaddi,36338,Madarmaddi-2,Anganwadi
bangalore,south-2,kalasipalya,32441,GKLPS KEMMANGUNDI,Lower Primary
koppal,kustagi,koradakera,20329,	GLPS BISNHAL	,Lower Primary
bangalore,sumangali seva ashrama,kodihalli,30407,JOTHIPURA,Anganwadi
bangalore,north-4,yelehanka new town,32889,GKLPS PUTTENAHALLI,Lower Primary
bangalore rural,devanahalli,sadahalli,36737,GKHPS UGANAVADI,Model Primary
bangalore,south-2,byatarayanapura,31997,GKHPS ANCHEPALYA,Upper Primary
koppal,kustagi,thavaragera,20227,	GMHPS TAWARAGERA	,Model Primary
bangalore rural,devanahalli,nalluru,36745,GKHPS Mallepura,Model Primary
bangalore rural,hosakote,shivanapura,36040,G LPS MOTHAKADAHALLI,Lower Primary
bangalore rural,hosakote,thavarekere,35934,G LPS MANCHAPPANAHALLI,Lower Primary
bangalore rural,hosakote,kalkunte,36115,G HPS BAGURU,Upper Primary
bangalore,sumangali seva ashrama,dodda banaswadi,30296,MUNESHWARA NAGARA,Anganwadi
bangalore,sumangali seva ashrama,sultanpalya,30356,D.J.HALLI 6,Anganwadi
dharwad,Hubli-Dharwad urban,HFWTC,36530,Lidkar Colony,Anganwadi
bangalore,south-1,k gollahalli,31984,GKLPS GAVIYANAPALYA,Lower Primary
bangalore,bmp-1,bmpcluster,32094,CPS AUSTIN TOWN,Lower Primary
koppal,kustagi,hiremannapur,20278,	GHPS GUMAGERI	,Upper Primary
bangalore,north-4,t dasarahalli,32832,GKLPS SIDADHAHALLI,Lower Primary
koppal,kustagi,bijakal,20293,	GHPS K .BODUR	,Upper Primary
dharwad,Hubli-Dharwad urban,Madarmaddi,36338,Madarmaddi-2,Anganwadi
bangalore,anekal taluk,kasaba 2,30820,KUVEMPUNAGARA B,Anganwadi
bangalore,bangalore south(banashankari),uttrahalli,30691,DODDAKALLASANDRA 1,Anganwadi
bangalore,north-4,byatarayanapura,32167,GKHPS AMRUTHAHALLI,Upper Primary
gadag,mundaragi,shingtalur,36910,GHPS GANGAPUR,Upper Primary
bangalore,sumangali seva ashrama,dodda banaswadi,30328,B. S.PALYA,Anganwadi
bangalore,anekal taluk,sarjapura,36559,SARJAPURA   B,Anganwadi
bangalore,south-3,ejipura,32264,GTEHPS VIVEKNAGARA,Upper Primary
bangalore,south-1,k gollahalli,31982,GKLPS DEVAGERE COLONY,Lower Primary
bangalore rural,devanahalli,sadahalli,36758,GKHPS SADAHALLI,Upper Primary
bangalore rural,hosakote,jadigenahalli,36107,G LPS BOMMANA BANDE,Lower Primary
bangalore,north-2,hebbal,32029,GKMPS HEBBAL,Model Primary
bangalore rural,hosakote,alappanahalli,36126,G LPS VENKATAPURA,Lower Primary
koppal,kustagi,bijakal,20274,	GLPS JanataBadavne Bijakal	,Lower Primary
bijapur,sindagi,devar hipparagi,29200,	GOVT. LPKBS WANAHALL  VASTI	,Lower Primary
bangalore,bangalore south(banashankari),doddakannelli,33792,KADABESANAHALLI,Anganwadi
koppal,kustagi,koradakera,20333,	GHPS HIREBANNIGOL	,Upper Primary
bangalore rural,hosakote,sulibele,35881,GKLPS VALAGEREPURA,Lower Primary
bangalore,bangalore state,yashwanthpura,29675,PRAKASH NAGAR,Anganwadi
koppal,kustagi,koradakera,20335,	GHPS HIRENANDIHAL	,Upper Primary
bangalore,bangalore north (yelahanka),rajanakunte,33920,ARAKERE,Anganwadi
bangalore,bangalore central,netravathi,30353,DODDAMAVALLI (HOSAGUDDADAHALLI 1),Model Primary
koppal,kustagi,kustagi,36798,LPS SHARIF NAGAR KUSTAGI,Lower Primary
bangalore rural,devanahalli,channahalli,36728,GKLPS T AGRAHARA,Lower Primary
gadag,mundaragi,mundaragi east,36880,GLPS SSP NAGAR MUNDARAGI,Lower Primary
gadag,mundaragi,bidaralli,36837,GHPS JALAWADAGI,Upper Primary
bangalore rural,hosakote,nelavagilu,35911,G LPS YETHONODEYANAPURA,Lower Primary
koppal,kustagi,nilogal,20161,	GHPS BILEKAL	,Upper Primary
bangalore rural,hosakote,sulibele,35881,GKLPS VALAGEREPURA,Lower Primary
gadag,mundaragi,mundaragi city west,36877,GMCS MUNDARAGI,Model Primary
bangalore,bangalore south(banashankari),byrathi,31327,CHEEMASENDRA,Anganwadi
bangalore,south-4,doddakanneli,32185,GKLPS VALEPURA,Lower Primary
bangalore,south-1,kengeri,32433,GUHPS KENGERI,Upper Primary
bangalore,bangalore north (yelahanka),rajanakunte,30720,CHOKKANAHALLI,Anganwadi
koppal,kustagi,mudenur,20213,	GLPS RYAVANAKI	,Lower Primary
bangalore,north-4,kakolu,32587,GKLPS SHYANABOGANAHALLI,Lower Primary
bangalore,sumangali seva ashrama,dodda banaswadi,29603,CHIKKABANASWADI,Anganwadi
bangalore,anekal,chikkahosahalli,32522,GKLPS CHINNAYYANAPALYA (CHIKKAHOSAHALLI),Lower Primary
koppal,kustagi,bijakal,36804,GHPS VANAGERI,Upper Primary
gadag,mundaragi,mundaragi east,36881,GHPS KOTEMUNDARAGI,Upper Primary
bangalore rural,hosakote,sulibele,36141,G ULPS JANATHA COLONY,Lower Primary
bangalore rural,devanahalli,devanahalli,36721,GKLPS Poojammana Palya,Lower Primary
dharwad,Hubli-Dharwad urban,HFWTC,36509,Hanumant Nagar,Anganwadi
bangalore rural,devanahalli,channahalli,36732,GKHPS RAYASANDRA,Upper Primary
koppal,kustagi,chalageri,20136,	GUHPS KALALBANDI	,Upper Primary
bangalore rural,hosakote,doddanallala,36247,GLPS INJANAHALLI,Lower Primary
dharwad,Hubli-Dharwad urban,HFWTC,36497,Om nagar,Anganwadi
bangalore rural,hosakote,doddanhulluru,36195,	GHPS Doddanallurahalli,Upper Primary
bangalore rural,hosakote,kalkunte,36112,G LPS MUTHUKADAHALLI,Lower Primary
bangalore,bangalore north (yelahanka),hesaragatta,30745,PAKEGOWDARAPALYA,Anganwadi
bangalore,bangalore state,yashwanthpura,29616,BAPUJI BLOCK,Anganwadi
bangalore rural,devanahalli,devanahalli,36764,GKMPS DEVANA HALLI,Model Primary
dharwad,Hubli-Dharwad urban,Purohit Nagar,36482,Hattikolla-2,Anganwadi
bangalore,sumangali seva ashrama,sultanpalya,36572,D.J.HALLI E BLOCK,Anganwadi
gadag,mundaragi,korlahalli,36823,GHPS BIDNAL,Upper Primary
dharwad,Hubli-Dharwad urban,HDMC,36635,Baraimam galli -2,Anganwadi
koppal,kustagi,j.gudadoor,20307,	GHPS PARAMANAHATTI	,Upper Primary
bangalore,south-1,uttara halli,32865,GKHPS GANIGARAPALYA,Upper Primary
bangalore rural,hosakote,beguru,35891,G HPS BEGURU,Upper Primary
bangalore rural,hosakote,thavarekere,35941,G LPS GANGAPURA,Lower Primary
bangalore rural,devanahalli,sadahalli,36758,GKHPS SADAHALLI,Upper Primary
bangalore,bangalore north (yelahanka),mallasandra,33833,NAGASENDRA,Anganwadi
bangalore rural,hosakote,devanagundi,35999,G UHPS MEDIMALLASADNRA,Upper Primary
gadag,mundaragi,petalur,36829,GLPS PETALUR(DPEP),Lower Primary
bangalore rural,hosakote,jadigenahalli,35969,G HPS KB HOSAHALLI,Lower Primary
koppal,kustagi,mudenur,20202,	GHPS JALIHAL	,Upper Primary
bangalore,anekal taluk,ballur,36623,Mayasandra D,Anganwadi
bangalore,bangalore north (yelahanka),abbigere,31510,GANIGARA HALLI,Anganwadi
koppal,kustagi,hiregonnagar,20298,	GHPS HABALAKATTI	,Upper Primary
bangalore rural,hosakote,doddagattinabbe,36211,GKLPS BHAKTARAHALLI,Lower Primary
bangalore,south-3,begur,32009,GKLPS YELENAHALLI,Lower Primary
bangalore,north-4,maralukunte,33191,GKHPS MARALAKUNTE,Upper Primary
bangalore,bangalore state,yw circle,29650,DAYANANDANAGARA 2,Anganwadi
bangalore,north-4,byatarayanapura,32175,GKHPS JAKKUR LAYOUT,Upper Primary
gadag,mundaragi,kadampur,36861,GHPS DONI,Upper Primary
koppal,kustagi,sanghanal,20270,	GHPS SIDDAPUR	,Upper Primary
bangalore rural,hosakote,beguru,35885,G LPS M.SATHYAVARA,Lower Primary
koppal,kustagi,hiremannapur,20285,	GMHPS KANDAKUR	,Model Primary
bangalore rural,hosakote,alappanahalli,36130,G LPS UPPARAHALLI,Lower Primary
bangalore,sumangali seva ashrama,dodda banaswadi,29599,MRSPALYA 1,Anganwadi
bangalore rural,hosakote,beguru,36188,GLPS MUTTUKADAHALLI,Model Primary
bangalore rural,devanahalli,devanahalli,36757,GKLPS NEERAGANTE PALYA,Lower Primary
bangalore,south-4,jeevan bheema nagar,32390,GKLPS VIBHUTHIPURA,Lower Primary
bangalore,north-4,bagalur,32038,GKHPS HOOVINAYAKANAHALLI,Upper Primary
gadag,mundaragi,mundaragi urdu,36890,GLPUS PETAALUR,Lower Primary
bangalore rural,hosakote,sulibele,35876,GKHPS KURUBARAHATTI,Upper Primary
bangalore rural,hosakote,nandagudi,36078,G LPS HALEURU,Lower Primary
bangalore rural,hosakote,hosakote town,36019,G KGMS HOSAKOTE,Upper Primary
koppal,kustagi,sanghanal,20269,	GHPS SANGANHAL	,Upper Primary
koppal,kustagi,hanumanal,20165,	GLPS ASHRAYA  BADAVANE HANAMANAL	,Lower Primary
bangalore,south-2,arundhathinagar,33083,GUHPS ARUNDATHINAGAR,Upper Primary
bangalore,bangalore south(banashankari),byrathi,31309,BIDARAHALLI,Anganwadi
koppal,kustagi,kustagi,36796,GLPS  KUSHTAGI HANUM SAGAR ROAD,Lower Primary
bangalore rural,hosakote,beguru,35888,G HPS E. MUTHASANDRA,Upper Primary
bangalore rural,hosakote,thavarekere,35932,G ULPS YELACHAHALLI,Lower Primary
bangalore rural,hosakote,thavarekere,35952,G LPS ALAGONDANAHALLI,Lower Primary
koppal,kustagi,kustagi,20243,	GLPS  GANDINAGAR  KUSTAGI	,Lower Primary
koppal,kustagi,hanumasagar,20184,	GHPS URDU HANUMASAGAR	,Upper Primary
gadag,mundaragi,hirawaddatti,36846,GHPS KELUR,Upper Primary
dharwad,Hubli-Dharwad urban,Madarmaddi,36381,Chapparband Colony-3,Anganwadi
bangalore rural,hosakote,bilanarasapura,35925,G LPS GUNDRAHALLI,Lower Primary
koppal,kustagi,thavaragera,20230,	GHPS BASAVANNA CAMP  TAWARAGER	,Upper Primary
koppal,kustagi,j.gudadoor,20312,	GLPS JAGIR TIMMANAHATTI	,Lower Primary
gadag,mundaragi,mundaragi urdu,36898,GLPUS EKLASPUR,Lower Primary
bangalore,bangalore north (yelahanka),kodigenahalli,33900,NAGASHETTIHALLI,Anganwadi
bangalore,north-1,mallasandra,33282,GKMPS MALLASANDRA(MALLASANDRA),Upper Primary
bangalore rural,hosakote,beguru,35893,G LPS BAGALURU,Lower Primary
bangalore rural,hosakote,shivanapura,36044,G HPS K SATHYAVARA,Upper Primary
bangalore,bangalore south(banashankari),varthur,33791,AMBEDKAR NAGAR 1ST,Anganwadi
bangalore rural,hosakote,doddanallala,36233,GHPS THAVATAHALLI,Upper Primary
bangalore,bangalore north (yelahanka),hesaragatta,31228,SOLADEVANAHALLI,Anganwadi
koppal,kustagi,hanumanal,36795,LPS URDU TUGGALDONI,Lower Primary
bangalore rural,hosakote,doddanhulluru,36201,GHPS SOMAPURA,Model Primary
gadag,mundaragi,mundaragi urdu,36895,GHPUS KALAKERI,Lower Primary
bangalore,bangalore south(banashankari),uttrahalli,30710,GUBBALAALA,Anganwadi
bangalore,south-4,kylasanahalli,32598,GKLPS BYRATHI,Lower Primary
bangalore,south-2,arundhathinagar,33082,GKMPS NAYANDAHALLI,Model Primary
bangalore,north-3,j c nagar,32311,GKHPS MAJOR RAMASWAMY PALYA,Upper Primary
koppal,kustagi,hiremannapur,20277,	GHPS GUDADUR .M	,Upper Primary
bangalore rural,hosakote,sulibele,35876,GKHPS KURUBARAHATTI,Upper Primary
koppal,kustagi,mudenur,20216,	GHPS TEGGIHAL	,Upper Primary
koppal,kustagi,hanumanal,20308,	GHPS PATTALACHINTI	,Upper Primary
bangalore,bangalore north (yelahanka),agrahara layout,33828,SRINIVASPURA,Anganwadi
bangalore,bangalore south(banashankari),uttrahalli,30721,BANJARAPALYA,Anganwadi
dharwad,Hubli-Dharwad urban,HDMC,36616,Doragalli-2,Anganwadi
koppal,kustagi,dotihal,20147,	GLPS NAVA NAGAR HGR CALONI DOTIHAL	,Lower Primary
bangalore,south-1,kaggalipura,32721,GKLPS GADIPALYA,Lower Primary
bangalore,bangalore north (yelahanka),kadugondanahalli,30982,GOVIND PURA,Anganwadi
bangalore rural,hosakote,sulibele,36141,G ULPS JANATHA COLONY,Lower Primary
bangalore rural,devanahalli,devanahalli,36759,GKHPS NEELEARI,Upper Primary
bangalore,sumangali seva ashrama,sultanpalya,30971,MODI ROAD 3-MADEENA MOHALLA,Anganwadi
bangalore rural,hosakote,sulibele,36137,GKHPS ARASANAHALLI,Upper Primary
bangalore rural,hosakote,devanagundi,35986,G HPS DODDA DUNNASANDRA,Upper Primary
bangalore,sumangali seva ashrama,dodda banaswadi,36591,VIJNA PURA  8 ,Anganwadi
bangalore,bangalore north (yelahanka),sonnenahali,31269,AHAVALAHALLI,Anganwadi
koppal,kustagi,adavibhavi,20131,YYYGHPS HOSALLI,Upper Primary
bangalore,south-4,marathahalli,32684,GKLPS CHINAPPANAHALLI,Lower Primary
bangalore rural,hosakote,thavarekere,35942,G LPS PUJARAMANAHALLI,Lower Primary
dharwad,Hubli-Dharwad urban,Madarmaddi,36337,Madarmaddi-1,Anganwadi
bangalore,north-3,j c nagar,32315,GTELPS MRS PALYA,Lower Primary
bangalore,bangalore south(banashankari),byrathi,30580,AANAGALAPURA,Anganwadi
bangalore,bangalore north (yelahanka),rajanakunte,33724,SURADEVANAPURA,Anganwadi
koppal,kustagi,hanumasagar,20182,	GGIRLS HPS HANUMASAGAR	,Upper Primary
gadag,mundaragi,korlahalli,36823,GHPS BIDNAL,Upper Primary
bangalore rural,devanahalli,devanahalli,36726,GKLPS  D V M COLONY,Lower Primary
koppal,kustagi,hanumasagar,20318,	GHPS KABBARAGI	,Upper Primary
dharwad,Hubli-Dharwad urban,Madarmaddi,36305,Ullagaddi Oni,Anganwadi
koppal,kustagi,thavaragera,20226,	GHPS NARINHAL	,Upper Primary
koppal,kustagi,dotihal,20159,	GLPS TONASHIHAL TANDA	,Lower Primary
bangalore rural,hosakote,mugbala,36220,GHPS NIDAGHATTA,Upper Primary
bangalore rural,hosakote,jadigenahalli,35957,G HPS ATTHIVATTA,Upper Primary
koppal,kustagi,hiremannapur,20281,	G URDU LPS HIREMANAPUR	,Lower Primary
bangalore,south-4,bidrahalli,32840,GKHPS RAMPURA,Upper Primary
gadag,mundaragi,hirawaddatti,36846,GHPS KELUR,Upper Primary
bangalore rural,hosakote,bilanarasapura,35927,G LPS MARASANDAHALLI,Lower Primary
bangalore,south-1,srinagara,32636,GKHPS SUNKENAHALLI,Upper Primary
koppal,kustagi,bijakal,20286,	GLPS KAVALABUDURU TANDA	,Lower Primary
koppal,kustagi,koradakera,20333,	GHPS HIREBANNIGOL	,Upper Primary
koppal,kustagi,thavaragera,20232,	GLPS GADDERAHATTI 	,Lower Primary
bangalore,south-2,byatarayanapura,31999,GKMPS BYATARAYANAPURA (S2),Model Primary
koppal,kustagi,menedhal,20261,	GLPS HULIYAPUR TANDA	,Lower Primary
bangalore,bangalore south(banashankari),k.r.puram,30541,BILESHIVALE,Anganwadi
bangalore,anekal,haragadde,32810,GKLPS MARUTHINAGARA(JANATHA COLONY),Lower Primary
bangalore rural,hosakote,beguru,35893,G LPS BAGALURU,Lower Primary
dharwad,Hubli-Dharwad urban,Madarmaddi,36305,Ullagaddi Oni,Anganwadi
koppal,kustagi,dotihal,20147,	GLPS NAVA NAGAR HGR CALONI DOTIHAL	,Lower Primary
bangalore,south-4,doddakanneli,32186,GKLPS VALEPURADINNE,Lower Primary
bangalore rural,hosakote,nelavagilu,35928,G HPS THARABAHALLI,Upper Primary
koppal,kustagi,nilogal,20166,	GHPS  KODATHAGERI	,Upper Primary
bangalore,south-4,rammurthynagar,33324,GKMPS VIJANAPURA,Model Primary
bangalore,sumangali seva ashrama,kodihalli,30948,KEMPAPURA,Anganwadi
bangalore rural,hosakote,doddanhulluru,36219,GHPS DODDAHULLUR,Upper Primary
gadag,mundaragi,mundaragi east,36826,GLPS KOTE NO 2,Lower Primary
bangalore,north-4,bagalur,32040,GKHPS MYLANAHALLI,Upper Primary
bangalore rural,devanahalli,devanahalli,36726,GKLPS  D V M COLONY,Lower Primary
bangalore,north-4,yelehanka new town,32884,GKLPS AMBEDKAR NAGARA,Lower Primary
bangalore,sumangali seva ashrama,dodda banaswadi,29600,VIJNAPURA 4,Anganwadi
bangalore,anekal taluk,sarjapura,33462,BOORUGUNTE,Anganwadi
bangalore rural,hosakote,shivanapura,36048,G LPS GADIGENAHALLI,Lower Primary
dharwad,Hubli-Dharwad urban,Madarmaddi,36360,Jannatnagar-4,Anganwadi
gadag,mundaragi,petalur,36899,GHPGS SHIRUR,Upper Primary
koppal,kustagi,koradakera,20333,	GHPS HIREBANNIGOL	,Upper Primary
gadag,mundaragi,hirawaddatti,36850,GHPGS HIREWADDATTI,Upper Primary
bangalore rural,hosakote,sulibele,35875,GKHPS JANATHA COLONY,Upper Primary
bangalore,sumangali seva ashrama,dodda banaswadi,34023,VIJANAPUR-6,Anganwadi
bangalore rural,hosakote,sulibele,36140,G UHPS SULIBELE,Upper Primary
bangalore rural,devanahalli,devanahalli,36767,GKLPS PARVATHAPURA,Lower Primary
